MERRA_ID,YEAR,MONTH,CLOUD_COVER_AVG,SHORTWAVE_SURFACE_AVG
133786,2014,2,0.51,4150.2
133787,2014,3,0.5,5119.3
134319,2014,3,0.33,6386.9
134319,2014,11,0.2,4371.1
133790,2014,6,0.6,6084.6
133790,2014,8,0.61,5560.2
134319,2014,12,0.48,3251.3
133790,2014,10,0.27,5146.4
134896,2014,6,0.17,8785.1
134361,2014,6,0.61,5329.8
136621,2014,4,0.28,7360.8
134896,2014,9,0.29,5709.7
136621,2014,7,0.5,7293.3
134361,2014,11,0.39,3587.3
134943,2014,4,0.5,5863.9
134943,2014,7,0.59,5928
135515,2014,1,0.43,3253.7
135515,2014,2,0.59,3723.7
136621,2014,11,0.2,4039.6
136621,2014,12,0.49,2862
136620,2014,4,0.27,7391.9
137243,2014,4,0.58,5520.6
137243,2014,5,0.48,6450.9
137243,2014,7,0.5,6873
136045,2014,4,0.28,7430.1
138348,2014,3,0.38,6059.8
137241,2014,1,0.43,3096.1
138347,2014,4,0.35,7199.5
138924,2014,5,0.31,8209.4
135515,2014,8,0.64,5914.7
135515,2014,11,0.39,3482.7
137194,2014,3,0.38,5978.6
137194,2014,6,0.19,8641.5
137819,2014,1,0.4,3103.6
138346,2014,5,0.28,8278.6
138349,2014,5,0.28,8224.5
144732,2014,4,0.62,5683.7
144732,2014,5,0.55,6144.3
138349,2014,7,0.56,6464.7
151077,2014,2,0.73,2261.4
138924,2014,8,0.31,6666.6
137243,2014,12,0.52,2577.3
137241,2014,11,0.36,3541.4
138922,2014,9,0.09,6303.6
137819,2014,9,0.43,5529.8
138922,2014,12,0.54,2677.3
149346,2014,2,0.68,2440.9
149922,2014,6,0.56,6594.1
149346,2014,6,0.55,6499.7
149922,2014,12,0.68,1138.6
149346,2014,11,0.69,1399.8
133787,2014,2,0.5,4138.9
133786,2014,10,0.27,5090.5
133786,2014,11,0.37,3697.4
133787,2014,11,0.36,3694.6
134319,2014,7,0.66,5391.2
134895,2014,3,0.32,6263.9
134895,2014,7,0.62,5925.8
134895,2014,10,0.25,5301.1
134896,2014,2,0.46,4713.9
134361,2014,8,0.67,5293.2
134943,2014,1,0.51,3059.3
136621,2014,1,0.39,3650.7
136620,2014,3,0.37,5967.5
136621,2014,6,0.19,8662.7
134896,2014,11,0.2,4289.2
138924,2014,1,0.4,3428.8
136045,2014,2,0.48,4459.3
136090,2014,3,0.52,4772.5
136620,2014,7,0.47,7309.6
138347,2014,2,0.45,4489.4
138349,2014,3,0.36,6075.5
138349,2014,4,0.34,7228.9
136090,2014,6,0.61,5848.3
136090,2014,8,0.58,6174.9
137194,2014,4,0.29,7229.9
137194,2014,5,0.26,8237.7
137819,2014,2,0.6,3840.3
137819,2014,3,0.5,4730.9
144732,2014,1,0.68,1855.5
144732,2014,10,0.53,3281
144732,2014,12,0.67,1612.6
138347,2014,12,0.56,2678.3
151077,2014,4,0.64,4488.1
