MERRA_ID,YEAR,MONTH,PRECIPITATION,EVAPORATION,PRECIP_DAYS
149922,2014,12,106.15,12.36,31
133786,2014,4,202.65,125.22,30
133786,2014,11,87.27,41.57,30
133787,2014,2,138.27,64.6,28
134319,2014,11,2.14,31.72,30
133790,2014,3,159.85,104.92,31
134895,2014,4,1.04,5.22,30
134896,2014,1,0.95,17.02,31
136621,2014,1,0,20.2,31
136621,2014,3,4.15,26.13,31
137819,2014,8,74.14,92.81,31
137819,2014,9,28.86,80.12,30
136621,2014,12,13.02,13.22,31
137194,2014,1,0.03,9.85,31
137194,2014,4,0.57,1.75,30
137194,2014,7,15.79,17.73,31
137243,2014,10,53.92,69.44,31
136090,2014,7,108.28,116.01,31
136620,2014,2,3.26,10.34,28
137241,2014,4,220.88,124.32,30
137243,2014,11,101.27,39.71,30
138349,2014,9,39.75,49.36,30
134896,2014,2,2.45,15.98,28
134943,2014,5,83.82,96.97,31
134943,2014,10,22.45,91.75,31
136090,2014,3,154.82,92.73,31
136620,2014,12,13.06,12.13,31
137241,2014,6,108.74,138.48,30
138347,2014,5,3.35,5.31,31
135515,2014,12,141.01,36.09,31
136045,2014,12,13.23,12.16,31
136090,2014,12,111.34,38.98,31
144732,2014,1,71.89,16.27,31
144732,2014,11,64.03,17.81,30
144732,2014,12,92.48,11.3,31
138924,2014,4,13.59,19.98,30
138924,2014,6,0,7.55,30
138347,2014,8,136.59,56.66,31
138347,2014,9,25.67,46.94,30
138922,2014,6,0,0.8,30
138922,2014,11,0.79,1.74,30
148770,2014,2,66.33,15.8,28
149346,2014,5,96.27,53.42,31
148770,2014,9,132.5,54.52,30
149922,2014,2,46.79,12.33,28
149922,2014,8,90.53,53.62,31
133786,2014,1,132.68,48.61,31
133786,2014,7,76.06,134.61,31
134319,2014,5,0.42,1.51,31
133790,2014,11,88.87,51.26,30
136621,2014,2,0.98,14.97,28
136621,2014,11,0.02,4.75,30
137194,2014,6,0,1.15,30
137194,2014,8,64.64,50.09,31
137243,2014,8,48.73,92.59,31
137819,2014,1,88.27,42.47,31
137819,2014,5,130.81,161.4,31
134896,2014,5,4.41,1.8,31
135515,2014,5,113.91,156.76,31
135515,2014,6,104.16,142.79,30
136090,2014,4,224.37,124.31,30
136090,2014,8,49.87,85.55,31
137194,2014,12,13.62,11.24,31
134896,2014,3,13.63,25.23,31
134943,2014,6,89.39,102.68,30
134943,2014,8,95.45,126.47,31
137241,2014,8,46.5,85.16,31
134896,2014,9,79.68,56.78,30
134943,2014,11,88.09,47.81,30
136045,2014,11,0.03,3.93,30
138346,2014,1,0.06,6.09,31
138346,2014,11,0.56,2.54,30
