STATE_CODE,STATE_CODE_EXP,SHRP_ID,TRAFFIC_OPEN_YEAR_EXP_NO,VEHICLE_CLASS,VEHICLE_CLASS_EXP,VEH_CLASS_DIST_PERCENT,VEH_CLASS_GROWTH_RATE,VEH_CLASS_GROWTH_FUNCTION,VEH_CLASS_GROWTH_USE_RATING,VEH_CLASS_GROWTH_USE_RATING_EXP,AADTT_FIRST_YEAR_LTPP_LANE
4,Arizona,1016,1979,8,"FHWA Class 8 (Four or less axle, one trailer truck)",8.680000305175781,7.480000019073486,compound,6,Bad - No monitoring data are present.,138
4,Arizona,1016,1979,7,FHWA Class 7 (Four or more axle Single-unit truck),0,0,linear,6,Bad - No monitoring data are present.,138
4,Arizona,1016,1998,6,FHWA Class 6 (Three axle Single-unit truck),3.759999990463257,7.389999866485596,compound,6,Bad - No monitoring data are present.,558
4,Arizona,1016,1979,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",0.07000000029802322,57.88999938964844,linear,6,Bad - No monitoring data are present.,138
4,Arizona,1016,1998,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",0.17000000178813934,20.899999618530273,linear,6,Bad - No monitoring data are present.,558
4,Arizona,1016,1998,8,"FHWA Class 8 (Four or less axle, one trailer truck)",8.640000343322754,7.380000114440918,compound,6,Bad - No monitoring data are present.,558
4,Arizona,1016,1979,6,FHWA Class 6 (Three axle Single-unit truck),3.759999990463257,7.579999923706055,compound,6,Bad - No monitoring data are present.,138
4,Arizona,1016,1979,4,FHWA Class 4 (Buses),2.4700000286102295,6.980000019073486,compound,6,Bad - No monitoring data are present.,138
4,Arizona,1016,1979,10,"FHWA Class 10 (Six or more axle, one trailer truck)",0.07000000029802322,57.88999938964844,linear,6,Bad - No monitoring data are present.,138
4,Arizona,1016,1998,10,"FHWA Class 10 (Six or more axle, one trailer truck)",0.17000000178813934,20.899999618530273,linear,6,Bad - No monitoring data are present.,558
4,Arizona,1016,1998,9,"FHWA Class 9 (Five axle, one trailer truck)",66.93000030517578,7.369999885559082,compound,6,Bad - No monitoring data are present.,558
4,Arizona,1016,1998,4,FHWA Class 4 (Buses),2.380000114440918,7.400000095367432,compound,6,Bad - No monitoring data are present.,558
4,Arizona,1016,1979,9,"FHWA Class 9 (Five axle, one trailer truck)",66.91999816894531,7.559999942779541,compound,6,Bad - No monitoring data are present.,138
4,Arizona,1016,1998,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",13.859999656677246,7.380000114440918,compound,6,Bad - No monitoring data are present.,558
4,Arizona,1016,1979,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",3.75,7.03000020980835,compound,6,Bad - No monitoring data are present.,138
4,Arizona,1016,1979,12,"FHWA Class 12 (Six axle, multi trailer truck)",0.6200000047683716,3.75,compound,6,Bad - No monitoring data are present.,138
4,Arizona,1017,1976,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",2.559999942779541,3.5799999237060547,compound,6,Bad - No monitoring data are present.,227
4,Arizona,1017,1997,10,"FHWA Class 10 (Six or more axle, one trailer truck)",0.25999999046325684,6.440000057220459,compound,6,Bad - No monitoring data are present.,718
4,Arizona,1017,1976,10,"FHWA Class 10 (Six or more axle, one trailer truck)",0.46000000834465027,4.53000020980835,linear,6,Bad - No monitoring data are present.,227
4,Arizona,1017,1976,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",0.550000011920929,4.639999866485596,linear,6,Bad - No monitoring data are present.,227
4,Arizona,1017,1997,12,"FHWA Class 12 (Six axle, multi trailer truck)",0.18000000715255737,4.199999809265137,compound,6,Bad - No monitoring data are present.,718
