STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,YEAR,AADTT_ALL_TRUCKS_TREND,ANNUAL_TRUCK_VOLUME_TREND
4,Arizona,1021,1,1996,1900,695400
4,Arizona,1021,1,1997,1912,1912
4,Arizona,1021,2,1990,940,343100
4,Arizona,1021,2,1991,1375,501875
4,Arizona,1021,2,1992,1450,530700
4,Arizona,1021,2,1993,1600,584000
4,Arizona,1021,2,1994,1660,605900
4,Arizona,1021,2,1995,1600,584000
4,Arizona,1021,2,1996,1900,695400
4,Arizona,1021,2,1997,1912,1912
4,Arizona,1021,3,1991,1375,501875
4,Arizona,1021,3,1992,1450,530700
4,Arizona,1021,3,1993,1600,584000
4,Arizona,1021,3,1994,1660,605900
4,Arizona,1021,3,1995,1600,584000
4,Arizona,1021,3,1996,1900,695400
4,Arizona,1021,3,1997,1912,1912
4,Arizona,1021,4,1994,1660,406700
4,Arizona,1021,4,1995,1600,584000
4,Arizona,1021,4,1996,1900,695400
4,Arizona,1021,4,1997,1912,1912
4,Arizona,1021,5,1997,1912,697880
4,Arizona,1021,5,1998,2200,803000
4,Arizona,1021,5,1999,1596,582540
4,Arizona,1021,5,2000,1689,618174
4,Arizona,1021,5,2001,1787,652255
4,Arizona,1021,5,2002,1885,688025
4,Arizona,1021,5,2003,3061,1117265
4,Arizona,1021,5,2004,2677,979782
4,Arizona,1021,5,2005,2207,805555
4,Arizona,1021,5,2006,2746,1002290
4,Arizona,1021,5,2007,2813,1026745
4,Arizona,1021,5,2008,2723,996618
4,Arizona,1021,5,2009,2449,893885
4,Arizona,1021,5,2010,2895,1056675
4,Arizona,1021,5,2011,2981,1088065
4,Arizona,1021,5,2012,3067,1122522
4,Arizona,1021,5,2013,3154,1151210
4,Arizona,1021,5,2014,3240,1182600
4,Arizona,1021,5,2015,3326,1213990
4,Arizona,1021,5,2016,3412,1248792
4,Arizona,1021,6,2008,2723,996618
4,Arizona,1022,1,1977,44,16060
4,Arizona,1022,4,2016,3471,1270386
4,Arizona,1022,1,1979,440,160600
4,Arizona,1022,1,1980,320,117120
4,Arizona,1022,1,1981,400,146000
4,Arizona,1022,1,1982,400,146000
4,Arizona,1022,1,1983,400,146000
4,Arizona,1022,1,1984,440,161040
4,Arizona,1022,1,1985,680,248200
4,Arizona,1022,1,1986,800,292000
4,Arizona,1022,1,1987,840,306600
4,Arizona,1022,1,1988,840,307440
4,Arizona,1022,1,1989,920,335800
4,Arizona,1022,1,1990,940,343100
4,Arizona,1022,1,1991,1375,501875
4,Arizona,1022,1,1992,1450,530700
4,Arizona,1022,1,1993,1600,584000
4,Arizona,1022,1,1994,1660,605900
4,Arizona,1022,1,1995,1600,584000
4,Arizona,1022,1,1996,1900,19000
4,Arizona,1022,2,1991,1375,501875
4,Arizona,1022,2,1992,1450,530700
4,Arizona,1022,2,1993,1600,584000
4,Arizona,1022,2,1994,1660,605900
4,Arizona,1022,2,1995,1600,584000
4,Arizona,1022,2,1996,1900,19000
4,Arizona,1022,3,1996,1900,678300
4,Arizona,1022,3,1997,1912,697880
4,Arizona,1022,3,1998,1889,689485
4,Arizona,1022,3,1999,1977,721605
4,Arizona,1022,3,2000,2065,755790
4,Arizona,1022,3,2001,2153,785845
4,Arizona,1022,3,2002,2240,817600
4,Arizona,1022,3,2003,2328,849720
4,Arizona,1022,3,2004,2416,884256
4,Arizona,1022,3,2005,2615,954475
4,Arizona,1022,3,2006,2667,973455
4,Arizona,1022,3,2007,2730,996450
4,Arizona,1022,3,2008,2500,915000
4,Arizona,1022,3,2009,2856,1042440
4,Arizona,1022,3,2010,2943,1074195
4,Arizona,1022,3,2011,3031,1106315
4,Arizona,1022,3,2012,3119,1141554
4,Arizona,1022,3,2013,3207,1170555
4,Arizona,1022,3,2014,3295,1202675
4,Arizona,1022,3,2015,3383,1234795
4,Arizona,1022,3,2016,3471,1270386
4,Arizona,1022,4,2015,3383,1234795
4,Arizona,1022,1,1978,440,160600
4,Arizona,1024,8,2016,2872,1051152
4,Arizona,1024,8,2017,2933,1070545
4,Arizona,1024,8,2018,2994,1092810
4,Arizona,1024,8,2019,3055,1115075
4,Arizona,1024,8,2020,3116,1140456
4,Arizona,1024,8,2021,3177,1159605
4,Arizona,1024,8,2022,3264,1191360
4,Arizona,1024,8,2023,3324,1213260
4,Arizona,1024,8,2024,3385,1238910
4,Arizona,1024,1,1988,1100,402600
4,Arizona,1024,1,1989,1200,438000
4,Arizona,1024,1,1990,1260,459900
4,Arizona,1024,1,1991,1425,520125
4,Arizona,1024,1,1992,1500,549000
4,Arizona,1024,1,1993,1574,574510
4,Arizona,1024,1,1994,1467,535455
4,Arizona,1024,1,1995,1605,585825
4,Arizona,1024,1,1996,1846,675636
4,Arizona,1024,1,1997,1950,711750
4,Arizona,1024,1,1998,2140,781100
4,Arizona,1024,1,1999,2044,746060
4,Arizona,1024,2,1989,1200,438000
4,Arizona,1024,2,1990,1260,459900
4,Arizona,1024,2,1991,1425,520125
4,Arizona,1024,2,1992,1500,549000
4,Arizona,1024,2,1993,1574,574510
4,Arizona,1024,2,1994,1467,535455
4,Arizona,1024,2,1995,1605,585825
4,Arizona,1024,2,1996,1846,675636
4,Arizona,1024,2,1997,1950,711750
4,Arizona,1024,2,1998,2140,781100
4,Arizona,1024,2,1999,2044,746060
4,Arizona,1024,3,1990,1260,459900
4,Arizona,1024,3,1991,1425,520125
4,Arizona,1024,3,1992,1500,549000
4,Arizona,1024,3,1993,1574,574510
4,Arizona,1024,3,1994,1467,535455
4,Arizona,1024,3,1995,1605,585825
4,Arizona,1024,3,1996,1846,675636
4,Arizona,1024,3,1997,1950,711750
4,Arizona,1024,3,1998,2140,781100
4,Arizona,1024,3,1999,2044,746060
4,Arizona,1024,4,1994,1467,535455
