STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,LAYER_NO,LAYER_TYPE,LAYER_TYPE_EXP,PROJECT_LAYER_CODE,MATL_CODE_EXP,MATL_CODE,REPR_THICKNESS,DESCRIPTION,DESCRIPTION_EXP,THREE_PASSING,TWO_PASSING,ONE_AND_HALF_PASSING,ONE_PASSING,THREE_FOURTHS_PASSING,ONE_HALF_PASSING,THREE_EIGHTHS_PASSING,NO_4_PASSING,NO_10_PASSING,NO_40_PASSING,NO_80_PASSING,NO_200_PASSING,LIQUID_LIMIT,PLASTIC_LIMIT,PLASTICITY_INDEX,AASHTO_SOIL_CLASS_EXP,AASHTO_SOIL_CLASS,SPEC_GRAVITY,MAX_LAB_DRY_DENSITY,OPTIMUM_LAB_MOISTURE,RESILIENT_MODULUS,RESILIENT_MODULUS_K1,RESILIENT_MODULUS_K2,RESILIENT_MODULUS_K3,POISSONS_RATIO,HYDRAULIC_CONDUCTIVITY
39,Ohio,0159,2,2,GB,Unbound (granular) base,B,Crushed Stone,303,,5,Base Layer,,,,,,,,,,,,,,,,A-1-a,502,,,,,,,,,
39,Ohio,0159,3,1,SS,Subgrade (untreated),A,Fine-Grained Soils: Silty Clay,131,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Ohio,0159,3,2,GB,Unbound (granular) base,B,Crushed Stone,303,,5,Base Layer,,,,,,,,,,,,,,,,A-1-a,502,,,,,,,,,
39,Ohio,0159,4,1,SS,Subgrade (untreated),A,Fine-Grained Soils: Silty Clay,131,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Ohio,0159,4,2,GB,Unbound (granular) base,B,Crushed Stone,303,,5,Base Layer,,,,,,,,,,,,,,,,A-1-a,502,,,,,,,,,
39,Ohio,0159,5,1,SS,Subgrade (untreated),A,Fine-Grained Soils: Silty Clay,131,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Ohio,0159,5,2,GB,Unbound (granular) base,B,Crushed Stone,303,,5,Base Layer,,,,,,,,,,,,,,,,A-1-a,502,,,,,,,,,
39,Ohio,0159,6,1,SS,Subgrade (untreated),A,Fine-Grained Soils: Silty Clay,131,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Ohio,0159,6,2,GB,Unbound (granular) base,B,Crushed Stone,303,,5,Base Layer,,,,,,,,,,,,,,,,A-1-a,502,,,,,,,,,
39,Ohio,0159,7,1,SS,Subgrade (untreated),A,Fine-Grained Soils: Silty Clay,131,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Ohio,0159,7,2,GB,Unbound (granular) base,B,Crushed Stone,303,,5,Base Layer,,,,,,,,,,,,,,,,A-1-a,502,,,,,,,,,
39,Ohio,0160,1,1,SS,Subgrade (untreated),A,Fine-Grained Soils: Silty Clay,131,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Ohio,0160,1,2,GB,Unbound (granular) base,B,Crushed Stone,303,101.6,5,Base Layer,100,100,100,90,76.30000305175781,60.70000076293945,51.29999923706055,34.29999923706055,24,15,12.699999809265137,9.699999809265137,0,0,,A-1-a,502,2.756999969482422,2178.72,8,197.197,1177.313,0.621999979019165,-0.01600000075995922,0.3499999940395355,0.023
39,Ohio,0160,2,1,SS,Subgrade (untreated),A,Fine-Grained Soils: Silty Clay,131,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Ohio,0160,2,2,GB,Unbound (granular) base,B,Crushed Stone,303,101.6,5,Base Layer,100,100,100,90,76.30000305175781,60.70000076293945,51.29999923706055,34.29999923706055,24,15,12.699999809265137,9.699999809265137,0,0,,A-1-a,502,2.756999969482422,2178.72,8,197.197,1177.313,0.621999979019165,-0.01600000075995922,0.3499999940395355,0.023
39,Ohio,0160,3,1,SS,Subgrade (untreated),A,Fine-Grained Soils: Silty Clay,131,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Ohio,0160,3,2,GB,Unbound (granular) base,B,Crushed Stone,303,101.6,5,Base Layer,100,100,100,90,76.30000305175781,60.70000076293945,51.29999923706055,34.29999923706055,24,15,12.699999809265137,9.699999809265137,0,0,,A-1-a,502,2.756999969482422,2178.72,8,197.197,1177.313,0.621999979019165,-0.01600000075995922,0.3499999940395355,0.023
39,Ohio,0901,1,1,SS,Subgrade (untreated),A,Fine-Grained Soils: Silty Clay,131,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Ohio,0901,1,2,GS,Unbound (granular) subbase,B,Fine-Grained Soils: Silty Clay,131,304.8,11,Embankment Layer,100,99.5999984741211,99.0999984741211,98,97.0999984741211,95.9000015258789,94.9000015258789,92.4000015258789,89.5999984741211,82.80000305175781,74.4000015258789,66.5,29,15,16,A-6,512,2.7269999980926514,1874.34,14,76.535,1110.241,0.3179999887943268,-1.50600004196167,0.3499999940395355,1e-7
39,Ohio,0901,1,3,GS,Unbound (granular) subbase,C,Crushed Stone,303,,6,Subbase Layer,,,,,,,,,,,,,,,,A-1-a,502,,,,,,,,,
39,Ohio,0901,2,1,SS,Subgrade (untreated),A,Fine-Grained Soils: Silty Clay,131,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Ohio,0901,2,2,GS,Unbound (granular) subbase,B,Fine-Grained Soils: Silty Clay,131,304.8,11,Embankment Layer,100,99.5999984741211,99.0999984741211,98,97.0999984741211,95.9000015258789,94.9000015258789,92.4000015258789,89.5999984741211,82.80000305175781,74.4000015258789,66.5,29,15,16,A-6,512,2.7269999980926514,1874.34,14,76.535,1110.241,0.3179999887943268,-1.50600004196167,0.3499999940395355,1e-7
39,Ohio,0901,2,3,GS,Unbound (granular) subbase,C,Crushed Stone,303,,6,Subbase Layer,,,,,,,,,,,,,,,,A-1-a,502,,,,,,,,,
39,Ohio,0901,3,1,SS,Subgrade (untreated),A,Fine-Grained Soils: Silty Clay,131,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Ohio,0901,3,2,GS,Unbound (granular) subbase,B,Fine-Grained Soils: Silty Clay,131,304.8,11,Embankment Layer,100,99.5999984741211,99.0999984741211,98,97.0999984741211,95.9000015258789,94.9000015258789,92.4000015258789,89.5999984741211,82.80000305175781,74.4000015258789,66.5,29,15,16,A-6,512,2.7269999980926514,1874.34,14,76.535,1110.241,0.3179999887943268,-1.50600004196167,0.3499999940395355,1e-7
39,Ohio,0901,3,3,GS,Unbound (granular) subbase,C,Crushed Stone,303,,6,Subbase Layer,,,,,,,,,,,,,,,,A-1-a,502,,,,,,,,,
39,Ohio,0903,1,1,SS,Subgrade (untreated),A,Fine-Grained Soils: Silty Clay,131,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
